param,smape
"(250, 0.2, 3, 0.0, 5)",13.17769802
"(250, 0.2, 3, 0.1, 1)",13.17769802
"(250, 0.2, 3, 0.1, 3)",13.17769802
"(250, 0.2, 3, 0.1, 5)",13.17769802
"(250, 0.2, 3, 0.2, 1)",13.17769802
"(250, 0.2, 3, 0.2, 3)",13.17769802
"(250, 0.2, 3, 0.2, 5)",13.17769802
"(250, 0.05, 6, 0.0, 3)",13.19127462
"(250, 0.05, 6, 0.1, 3)",13.19127462
"(250, 0.05, 6, 0.2, 3)",13.19127462
"(350, 0.2, 12, 0.2, 3)",13.19309619
"(350, 0.2, 12, 0.1, 1)",13.20434924
"(350, 0.2, 12, 0.0, 5)",13.20801986
"(350, 0.2, 12, 0.2, 1)",13.20817224
"(350, 0.2, 12, 0.1, 3)",13.22012144
"(350, 0.2, 12, 0.0, 1)",13.22141099
"(350, 0.2, 12, 0.1, 5)",13.22856285
"(350, 0.2, 12, 0.0, 3)",13.2372498
"(350, 0.2, 12, 0.2, 5)",13.25032136
"(350, 0.1, 3, 0.2, 5)",13.29300036
"(350, 0.1, 3, 0.0, 3)",13.29300036
"(350, 0.1, 3, 0.2, 3)",13.29300036
"(350, 0.1, 3, 0.2, 1)",13.29300036
"(350, 0.1, 3, 0.0, 1)",13.29300036
"(350, 0.1, 3, 0.1, 5)",13.29300036
"(350, 0.1, 3, 0.1, 3)",13.29300036
"(350, 0.1, 3, 0.1, 1)",13.29300036
"(350, 0.1, 3, 0.0, 5)",13.29300036
"(150, 0.05, 6, 0.0, 5)",13.3695912
"(150, 0.05, 6, 0.1, 5)",13.3695912
"(150, 0.05, 6, 0.2, 5)",13.3695912
"(150, 0.05, 6, 0.0, 3)",13.37305852
"(150, 0.05, 6, 0.1, 3)",13.37305852
"(150, 0.05, 6, 0.2, 3)",13.37305852
"(150, 0.05, 6, 0.0, 1)",13.3810185
"(150, 0.05, 6, 0.1, 1)",13.3810185
"(150, 0.05, 6, 0.2, 1)",13.3810185
"(50, 0.2, 6, 0.0, 1)",13.38144713
"(50, 0.2, 6, 0.1, 1)",13.38144713
"(50, 0.2, 6, 0.2, 1)",13.38144713
"(50, 0.2, 6, 0.0, 5)",13.39445113
"(50, 0.2, 6, 0.1, 5)",13.39445113
"(50, 0.2, 6, 0.2, 5)",13.39445113
"(50, 0.2, 6, 0.0, 3)",13.39477654
"(50, 0.2, 6, 0.1, 3)",13.39477654
"(50, 0.2, 6, 0.2, 3)",13.39477654
"(150, 0.2, 3, 0.0, 1)",13.49484251
"(150, 0.2, 3, 0.0, 3)",13.49484251
"(150, 0.2, 3, 0.0, 5)",13.49484251
"(150, 0.2, 3, 0.1, 1)",13.49484251
"(150, 0.2, 3, 0.1, 3)",13.49484251
"(150, 0.2, 3, 0.1, 5)",13.49484251
"(150, 0.2, 3, 0.2, 1)",13.49484251
"(150, 0.2, 3, 0.2, 3)",13.49484251
"(150, 0.2, 3, 0.2, 5)",13.49484251
"(50, 0.1, 6, 0.0, 3)",13.49889935
"(50, 0.1, 6, 0.1, 3)",13.49889935
"(50, 0.1, 6, 0.2, 3)",13.49889935
"(50, 0.1, 6, 0.0, 1)",13.49900338
"(50, 0.1, 6, 0.1, 1)",13.49900338
"(50, 0.1, 6, 0.2, 1)",13.49900338
"(50, 0.1, 6, 0.0, 5)",13.49909917
"(50, 0.1, 6, 0.1, 5)",13.49909917
"(50, 0.1, 6, 0.2, 5)",13.49909917
"(250, 0.1, 3, 0.0, 1)",13.50086662
"(250, 0.1, 3, 0.0, 3)",13.50086662
"(250, 0.1, 3, 0.0, 5)",13.50086662
"(250, 0.1, 3, 0.1, 1)",13.50086662
"(250, 0.1, 3, 0.1, 3)",13.50086662
"(250, 0.1, 3, 0.1, 5)",13.50086662
"(250, 0.1, 3, 0.2, 1)",13.50086662
"(250, 0.1, 3, 0.2, 3)",13.50086662
"(250, 0.1, 3, 0.2, 5)",13.50086662
"(350, 0.01, 6, 0.0, 5)",13.58708914
"(350, 0.01, 6, 0.1, 5)",13.58708914
"(350, 0.01, 6, 0.2, 5)",13.58708914
"(350, 0.01, 6, 0.0, 1)",13.59179714
"(350, 0.01, 6, 0.1, 1)",13.59179714
"(350, 0.01, 6, 0.2, 1)",13.59179714
"(350, 0.01, 6, 0.0, 3)",13.59179715
"(350, 0.01, 6, 0.1, 3)",13.59179715
"(350, 0.01, 6, 0.2, 3)",13.59179715
"(350, 0.05, 3, 0.2, 3)",13.74926329
"(350, 0.05, 3, 0.0, 1)",13.74926329
"(350, 0.05, 3, 0.0, 3)",13.74926329
"(350, 0.05, 3, 0.0, 5)",13.74926329
"(350, 0.05, 3, 0.1, 1)",13.74926329
"(350, 0.05, 3, 0.1, 5)",13.74926329
"(350, 0.05, 3, 0.2, 1)",13.74926329
"(350, 0.05, 3, 0.2, 5)",13.74926329
"(350, 0.05, 3, 0.1, 3)",13.74926329
"(150, 0.1, 3, 0.0, 1)",13.8801337
"(150, 0.1, 3, 0.0, 3)",13.8801337
"(150, 0.1, 3, 0.0, 5)",13.8801337
"(150, 0.1, 3, 0.1, 1)",13.8801337
"(150, 0.1, 3, 0.1, 3)",13.8801337
"(150, 0.1, 3, 0.1, 5)",13.8801337
"(150, 0.1, 3, 0.2, 1)",13.8801337
"(150, 0.1, 3, 0.2, 3)",13.8801337
"(150, 0.1, 3, 0.2, 5)",13.8801337
"(250, 0.05, 3, 0.0, 1)",13.92275388
"(250, 0.05, 3, 0.0, 3)",13.92275388
"(250, 0.05, 3, 0.0, 5)",13.92275388
"(250, 0.05, 3, 0.1, 1)",13.92275388
"(250, 0.05, 3, 0.1, 3)",13.92275388
"(250, 0.05, 3, 0.1, 5)",13.92275388
"(250, 0.05, 3, 0.2, 1)",13.92275388
"(250, 0.05, 3, 0.2, 3)",13.92275388
"(250, 0.05, 3, 0.2, 5)",13.92275388
"(50, 0.05, 12, 0.0, 3)",13.98298471
"(50, 0.05, 12, 0.1, 3)",13.98702787
"(50, 0.05, 12, 0.2, 3)",13.9926843
"(50, 0.05, 12, 0.1, 5)",13.99614613
"(50, 0.05, 12, 0.0, 5)",14.00142771
"(50, 0.05, 12, 0.2, 5)",14.00215195
"(50, 0.05, 12, 0.1, 1)",14.01897195
"(50, 0.05, 12, 0.0, 1)",14.02061149
"(50, 0.05, 10, 0.0, 3)",14.02908967
"(50, 0.05, 10, 0.1, 3)",14.03105186
"(50, 0.05, 10, 0.0, 5)",14.03132551
"(50, 0.05, 12, 0.2, 1)",14.03286212
"(50, 0.05, 10, 0.1, 1)",14.03455516
"(50, 0.05, 10, 0.2, 1)",14.0345565
"(50, 0.05, 10, 0.1, 5)",14.03539447
"(50, 0.05, 10, 0.2, 5)",14.03539462
"(50, 0.05, 10, 0.2, 3)",14.04378812
"(50, 0.05, 10, 0.0, 1)",14.04410564
"(250, 0.01, 12, 0.1, 5)",14.10622431
"(250, 0.01, 12, 0.1, 5)",14.110306
"(250, 0.01, 12, 0.0, 5)",14.11117788
"(250, 0.01, 12, 0.2, 3)",14.11244069
"(150, 0.05, 3, 0.0, 1)",14.11420798
"(150, 0.05, 3, 0.0, 3)",14.11420798
"(150, 0.05, 3, 0.0, 5)",14.11420798
"(150, 0.05, 3, 0.1, 1)",14.11420798
"(150, 0.05, 3, 0.1, 3)",14.11420798
"(150, 0.05, 3, 0.1, 5)",14.11420798
"(150, 0.05, 3, 0.2, 1)",14.11420798
"(150, 0.05, 3, 0.2, 3)",14.11420798
"(150, 0.05, 3, 0.2, 5)",14.11420798
"(250, 0.01, 12, 0.1, 3)",14.11475491
"(250, 0.01, 12, 0.0, 3)",14.11510582
"(250, 0.01, 12, 0.2, 5)",14.11619905
"(250, 0.01, 12, 0.1, 3)",14.11916246
"(250, 0.01, 12, 0.2, 1)",14.11943045
"(250, 0.01, 12, 0.0, 1)",14.13217082
"(250, 0.01, 12, 0.1, 1)",14.1353965
"(250, 0.01, 10, 0.0, 5)",14.14403802
"(250, 0.01, 10, 0.0, 3)",14.14432876
"(250, 0.01, 10, 0.1, 5)",14.14653316
"(250, 0.01, 10, 0.1, 3)",14.14801928
"(250, 0.01, 10, 0.2, 3)",14.14801928
"(250, 0.01, 10, 0.2, 5)",14.14873006
"(250, 0.01, 10, 0.2, 1)",14.14927267
"(250, 0.01, 10, 0.0, 1)",14.14969672
"(250, 0.01, 10, 0.1, 1)",14.15043451
"(50, 0.2, 3, 0.0, 1)",14.22551489
"(50, 0.2, 3, 0.0, 3)",14.22551489
"(50, 0.2, 3, 0.0, 5)",14.22551489
"(50, 0.2, 3, 0.1, 1)",14.22551489
"(50, 0.2, 3, 0.1, 3)",14.22551489
"(50, 0.2, 3, 0.1, 5)",14.22551489
"(50, 0.2, 3, 0.2, 1)",14.22551489
"(50, 0.2, 3, 0.2, 3)",14.22551489
"(50, 0.2, 3, 0.2, 5)",14.22551489
"(50, 0.05, 6, 0.0, 1)",14.40478478
"(50, 0.05, 6, 0.0, 3)",14.40478478
"(50, 0.05, 6, 0.0, 5)",14.40478478
"(50, 0.05, 6, 0.1, 1)",14.40478478
"(50, 0.05, 6, 0.1, 3)",14.40478478
"(50, 0.05, 6, 0.1, 5)",14.40478478
"(50, 0.05, 6, 0.2, 1)",14.40478478
"(50, 0.05, 6, 0.2, 3)",14.40478478
"(50, 0.05, 6, 0.2, 5)",14.40478478
"(50, 0.1, 3, 0.0, 1)",14.43030463
"(50, 0.1, 3, 0.0, 3)",14.43030463
"(50, 0.1, 3, 0.0, 5)",14.43030463
"(50, 0.1, 3, 0.1, 1)",14.43030463
"(50, 0.1, 3, 0.1, 3)",14.43030463
"(50, 0.1, 3, 0.1, 5)",14.43030463
"(50, 0.1, 3, 0.2, 1)",14.43030463
"(50, 0.1, 3, 0.2, 3)",14.43030463
"(50, 0.1, 3, 0.2, 5)",14.43030463
"(350, 0.01, 3, 0.0, 1)",14.46529391
"(350, 0.01, 3, 0.0, 3)",14.46529391
"(350, 0.01, 3, 0.0, 5)",14.46529391
"(350, 0.01, 3, 0.1, 1)",14.46529391
"(350, 0.01, 3, 0.1, 3)",14.46529391
"(350, 0.01, 3, 0.1, 5)",14.46529391
"(350, 0.01, 3, 0.2, 1)",14.46529391
"(350, 0.01, 3, 0.2, 3)",14.46529391
"(350, 0.01, 3, 0.2, 5)",14.46529391
"(250, 0.01, 6, 0.0, 1)",14.50249559
"(250, 0.01, 6, 0.0, 3)",14.50249559
"(250, 0.01, 6, 0.0, 5)",14.50249559
"(250, 0.01, 6, 0.1, 1)",14.50249559
"(250, 0.01, 6, 0.1, 3)",14.50249559
"(250, 0.01, 6, 0.1, 5)",14.50249559
"(250, 0.01, 6, 0.2, 1)",14.50249559
"(250, 0.01, 6, 0.2, 3)",14.50249559
"(250, 0.01, 6, 0.2, 5)",14.50249559
"(50, 0.05, 3, 0.0, 1)",15.08064796
"(50, 0.05, 3, 0.0, 3)",15.08064796
"(50, 0.05, 3, 0.0, 5)",15.08064796
"(50, 0.05, 3, 0.1, 1)",15.08064796
"(50, 0.05, 3, 0.1, 3)",15.08064796
"(50, 0.05, 3, 0.1, 5)",15.08064796
"(50, 0.05, 3, 0.2, 1)",15.08064796
"(50, 0.05, 3, 0.2, 3)",15.08064796
"(50, 0.05, 3, 0.2, 5)",15.08064796
"(250, 0.01, 3, 0.0, 1)",15.122249
"(250, 0.01, 3, 0.0, 3)",15.122249
"(250, 0.01, 3, 0.0, 5)",15.122249
"(250, 0.01, 3, 0.1, 1)",15.122249
"(250, 0.01, 3, 0.1, 3)",15.122249
"(250, 0.01, 3, 0.1, 5)",15.122249
"(250, 0.01, 3, 0.2, 1)",15.122249
"(250, 0.01, 3, 0.2, 3)",15.122249
"(250, 0.01, 3, 0.2, 5)",15.122249
"(150, 0.01, 6, 0.0, 1)",22.97267727
"(150, 0.01, 6, 0.0, 3)",22.97267727
"(150, 0.01, 6, 0.0, 5)",22.97267727
"(150, 0.01, 6, 0.1, 1)",22.97267727
"(150, 0.01, 6, 0.1, 3)",22.97267727
"(150, 0.01, 6, 0.1, 5)",22.97267727
"(150, 0.01, 6, 0.2, 1)",22.97267727
"(150, 0.01, 6, 0.2, 3)",22.97267727
"(150, 0.01, 6, 0.2, 5)",22.97267727
"(150, 0.01, 10, 0.0, 5)",23.1977557
"(150, 0.01, 3, 0.0, 1)",23.20317322
"(150, 0.01, 3, 0.0, 3)",23.20317322
"(150, 0.01, 3, 0.0, 5)",23.20317322
"(150, 0.01, 3, 0.1, 1)",23.20317322
"(150, 0.01, 3, 0.1, 3)",23.20317322
"(150, 0.01, 3, 0.1, 5)",23.20317322
"(150, 0.01, 3, 0.2, 1)",23.20317322
"(150, 0.01, 3, 0.2, 3)",23.20317322
"(150, 0.01, 3, 0.2, 5)",23.20317322
"(150, 0.01, 10, 0.0, 1)",23.20576662
"(150, 0.01, 10, 0.1, 1)",23.20747315
"(150, 0.01, 10, 0.2, 1)",23.20876163
"(150, 0.01, 10, 0.1, 5)",23.20930384
"(150, 0.01, 10, 0.2, 5)",23.21229537
"(150, 0.01, 10, 0.0, 3)",23.21317081
"(150, 0.01, 10, 0.1, 3)",23.21884088
"(150, 0.01, 10, 0.2, 3)",23.21884088
"(150, 0.01, 12, 0.1, 5)",23.41736938
"(150, 0.01, 12, 0.0, 5)",23.41846713
"(150, 0.01, 12, 0.2, 5)",23.42459876
"(150, 0.01, 12, 0.0, 3)",23.4339096
"(150, 0.01, 12, 0.2, 3)",23.44391544
"(150, 0.01, 12, 0.1, 3)",23.44576838
"(150, 0.01, 12, 0.0, 1)",23.46032626
"(150, 0.01, 12, 0.2, 1)",23.46032793
"(150, 0.01, 12, 0.1, 1)",23.46827684
"(50, 0.01, 3, 0.0, 3)",80.02647883
"(50, 0.01, 3, 0.0, 1)",80.11694182
"(50, 0.01, 3, 0.0, 5)",80.11745787
"(50, 0.01, 3, 0.1, 1)",80.11745787
"(50, 0.01, 3, 0.1, 3)",80.11745787
"(50, 0.01, 3, 0.1, 5)",80.11745787
"(50, 0.01, 3, 0.2, 1)",80.11745787
"(50, 0.01, 3, 0.2, 3)",80.11745787
"(50, 0.01, 3, 0.2, 5)",80.11745787
"(50, 0.01, 10, 0.0, 3)",81.00115657
"(50, 0.01, 10, 0.1, 3)",81.00115657
"(50, 0.01, 10, 0.2, 3)",81.00115657
"(50, 0.01, 10, 0.0, 5)",81.00124323
"(50, 0.01, 10, 0.1, 5)",81.00135785
"(50, 0.01, 10, 0.2, 5)",81.00246605
"(50, 0.01, 10, 0.0, 1)",81.01448891
"(50, 0.01, 10, 0.1, 1)",81.01448903
"(50, 0.01, 10, 0.2, 1)",81.01448903
"(50, 0.01, 6, 0.0, 1)",81.100535
"(50, 0.01, 6, 0.0, 3)",81.100535
"(50, 0.01, 6, 0.0, 5)",81.100535
"(50, 0.01, 6, 0.1, 1)",81.100535
"(50, 0.01, 6, 0.1, 3)",81.100535
"(50, 0.01, 6, 0.1, 5)",81.100535
"(50, 0.01, 6, 0.2, 1)",81.100535
"(50, 0.01, 6, 0.2, 3)",81.100535
"(50, 0.01, 6, 0.2, 5)",81.100535
"(50, 0.01, 12, 0.1, 5)",81.39635784
"(50, 0.01, 12, 0.2, 5)",81.39686485
"(50, 0.01, 12, 0.0, 5)",81.39773789
"(50, 0.01, 12, 0.0, 3)",81.39965467
"(50, 0.01, 12, 0.2, 3)",81.40500295
"(50, 0.01, 12, 0.1, 3)",81.40613318
"(50, 0.01, 12, 0.1, 1)",81.42783031
"(50, 0.01, 12, 0.2, 1)",81.42876961
"(50, 0.01, 12, 0.0, 1)",81.43773221
